date,day_sin,day_cos,week_sin,week_cos,month_sin,month_cos,quarter_sin,quarter_cos,year,open,high,low,volume,ema20,ema50,ema200,rsi14,macdline,macdsignal,atr14,bollingermid,bollingerlow,bollingerup,tr10by,tr2by,cds10,cds2,usdtry,xauusd,dollarindex,brentoil,emergingeem,sp500,dax,Nikkei,vix,pmi,pmi_upt,pmi_ds,m2,m2_upt,m2_ds,inflationyoy,inf_upt,inf_ds,interestrate,int_ump,int_ds,unemployment,unemp_upt,unemp_ds,gdpgrowth,gdp_upt,gdp_ds,fedrate,fed_upt,fedrate_ds,dif,close
19.02.2021,-2.44929359829471e-16,1,0.812486878005681,0.582979479114472,0.866025403784439,0.5,1,6.12323399573677e-17,2021,1551.54,1567.42,1550.14,4.24,1534.82079091778,1483.94735834693,1235.99785,73.4929752924078,15.644745893622,16.6479860600653,26.285459042814,1528.867,1475.68143642649,1582.05256357351,12.63,14.5,321.36,218.85,6.9587,1782.31,90.36,62.91,57.53,3906.7,13993.23,30017.92,22.05,54.4,0,0,3287004834,0,0,14.97,0,0,17,0,0,12.9,0,0,6.7,0,0,0.25,0,0,0,1560.34
22.02.2021,0.866025403784439,-0.5,0.875734942195637,0.482792202730745,0.866025403784439,0.5,1,6.12323399573677e-17,2021,1563.08,1569.84,1547.49,4.05,1536.32452511609,1486.56157958823,1239.12831915423,64.4853593611357,15.1149761774884,16.3413840835499,25.7607311704388,1529.387,1475.53529090334,1583.23870909666,12.66,14.5,325.89,223.85,7.0144,1808.66,90.01,65.24,55.84,3876.5,13950.04,30156.03,23.45,54.4,0,1,3287004834,0,1,14.97,0,1,17,0,1,12.9,0,1,6.7,0,1,0.25,0,1,-9.73000000000002,1550.61
23.02.2021,1.22464679914735e-16,-1,0.875734942195637,0.482792202730745,0.866025403784439,0.5,1,6.12323399573677e-17,2021,1558.03,1560.29,1515.25,5.1,1534.56599891456,1487.78896862399,1241.90176871488,44.62192363063,11.9151283807741,15.4561329429948,28.3313003477136,1528.4745,1474.48414785017,1582.46485214984,12.66,14.37,327.12,225.32,7.102,1805.06,90.17,65.37,56.09,3881.4,13864.81,30156.03,23.11,54.4,0,2,3287004834,0,2,14.97,0,2,17,0,2,12.9,0,2,6.7,0,2,0.25,0,2,-32.75,1517.86
24.02.2021,-0.866025403784438,-0.5,0.875734942195637,0.482792202730745,0.866025403784439,0.5,1,6.12323399573677e-17,2021,1506.53,1523.19,1483.02,4.25,1529.65685616079,1487.60195024658,1244.30095509583,35.5374665477252,6.49308092316869,13.6635225390296,29.9097936346851,1529.2755,1478.76189267224,1579.78910732776,12.77,14.37,328.72,226.82,7.1648,1804.36,90.18,67.04,55.73,3925.4,13976,29671.7,21.34,54.4,0,3,3287004834,0,3,14.97,0,3,17,0,3,12.9,0,3,6.7,0,3,0.25,0,3,-34.8399999999999,1483.02
25.02.2021,-0.866025403784439,0.5,0.875734942195637,0.482792202730745,0.866025403784439,0.5,1,6.12323399573677e-17,2021,1510.32,1514.81,1460.36,4.43,1525.70953652643,1487.62579533495,1246.72791076652,38.9831467028616,2.58505991309971,11.4478300138436,33.1818211500604,1528.77,1476.77154212813,1580.76845787187,12.87,14.37,334.73,232.31,7.3345,1769.88,90.13,66.88,54.46,3829.3,13879.33,30168.27,28.89,54.4,0,4,3287004834,0,4,14.97,0,4,17,0,4,12.9,0,4,6.7,0,4,0.25,0,4,5.19000000000005,1488.21
26.02.2021,-2.44929359829471e-16,1,0.875734942195637,0.482792202730745,0.866025403784439,0.5,1,6.12323399573677e-17,2021,1457.18,1480.04,1443.17,3.71,1520.53624733344,1486.98909747867,1248.96335444048,32.915545992469,-1.84800566359922,8.78866287835502,34.7629116633857,1528.667,1476.20109524172,1581.13290475828,12.98,14.89,352.97,252.65,7.4226,1733.49,90.88,66.13,53.73,3811.2,13786.29,28966.01,27.95,54.4,0,5,3287004834,0,5,14.97,0,5,17,0,5,12.9,0,5,6.7,0,5,0.25,0,5,-16.8199999999999,1471.39
01.03.2021,0.866025403784439,-0.5,0.926689607431833,0.375827582114238,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1491.88,1527.45,1491.13,3.24,1521.19469996835,1488.57579953833,1251.73436583909,46.43501417404,-0.828122503877694,6.86530580190848,37.6025234416009,1530.417,1480.77883976436,1580.05516023564,12.84,14.89,338.99,236.77,7.2769,1723.84,91.04,63.69,55.17,3901.8,14012.82,29663.5,23.35,51.7,1,0,3457504006,1,0,14.97,0,6,17,0,6,12.9,0,6,5.9,1,0,0.25,0,6,56.0599999999999,1527.45
02.03.2021,1.22464679914735e-16,-1,0.926689607431833,0.375827582114238,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1526.36,1537.46,1518.51,4.7,1521.92091901898,1490.15400347801,1254.49143682576,46.04335222602,0.0896562965181147,5.51017590083041,35.1155203160542,1531.2865,1482.4458964109,1580.1271035891,12.96,14.89,341.69,240.26,7.3472,1738.09,90.78,62.7,54.63,3870.3,14039.8,29408.17,24.1,51.7,0,1,3457504006,0,1,14.97,0,7,17,0,7,12.9,0,7,5.9,0,1,0.25,0,7,1.36999999999989,1528.82
03.03.2021,-0.866025403784438,-0.5,0.926689607431833,0.375827582114238,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1538.8,1553.96,1526.54,4.18,1522.79035530289,1491.7577680475,1257.24326332501,46.8642167011732,0.985583774930546,4.60525747565044,34.0894509405803,1531.1615,1482.33249297171,1579.99050702829,13.06,14.89,351.42,249.7,7.4565,1710.95,90.95,64.07,54.52,3819.7,14080.03,29559.1,26.67,51.7,0,2,3457504006,0,2,15.61,1,0,17,0,8,12.9,0,8,5.9,0,2,0.25,0,8,2.23000000000002,1531.05
04.03.2021,-0.866025403784439,0.5,0.926689607431833,0.375827582114238,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1527.07,1542.65,1523.2,3.3,1524.2427024169,1493.57275753583,1260.03726070486,49.9136740331491,2.23389637169316,4.13098525485898,32.1375241485029,1531.3185,1482.41873989942,1580.21826010058,13.27,16.29,356.22,254.67,7.4989,1697.19,91.63,66.74,53.25,3768.5,14056.34,28930.11,28.57,51.7,0,3,3457504006,0,3,15.61,0,1,17,0,9,12.9,0,9,5.9,0,3,0.25,0,9,6.99000000000001,1538.04
05.03.2021,-2.44929359829471e-16,1,0.926689607431833,0.375827582114238,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1534.4,1546.08,1528.47,3.4,1525.93196885338,1495.47108076972,1262.84266109586,45.1529044760599,3.50076354725729,4.00494091333864,30.2005209287025,1532.059,1482.97555487577,1581.14244512423,13.42,16.29,365.72,265.13,7.5348,1700.86,91.98,69.36,53.83,3841.9,13920.69,28864.32,24.66,51.7,0,4,3457504006,0,4,15.61,0,2,17,0,10,12.9,0,10,5.9,0,4,0.25,0,10,3.94000000000005,1541.98
08.03.2021,0.866025403784439,-0.5,0.964635581908359,0.263587166069068,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1549.62,1553.81,1526.58,3.56,1526.34511467687,1496.83574426895,1265.50362964217,46.9181277933304,3.51929750478166,3.90781223162725,29.8044514715422,1531.827,1482.75643294011,1580.89756705989,13.53,16.3,376.96,276.08,7.7698,1681.24,92.31,68.24,52.38,3821.3,14380.91,28743.25,25.47,51.7,0,5,3457504006,0,5,15.61,0,3,17,0,11,12.9,0,11,5.9,0,5,0.25,0,11,-11.71,1530.27
09.03.2021,1.22464679914735e-16,-1,0.964635581908359,0.263587166069068,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1542.04,1553.23,1534.99,3.05,1528.51700851717,1498.88728370938,1268.32598158602,51.9431580858985,4.9998093233005,4.1262116499619,28.8918579420032,1532.082,1482.69202292176,1581.47197707824,13.57,15.83,368.88,268.59,7.6116,1715.36,91.96,67.52,53.53,3875.4,14437.94,29027.94,24.03,51.7,0,6,3457504006,0,6,15.61,0,4,17,0,12,12.9,0,12,5.9,0,6,0.25,0,12,18.8800000000001,1549.15
10.03.2021,-0.866025403784438,-0.5,0.964635581908359,0.263587166069068,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1551.3,1565.97,1551.3,3,1531.98586484887,1501.47758630901,1271.27736485383,54.0242366329323,7.36237773583434,4.77344486713639,27.2822768830695,1532.9735,1481.82887810853,1584.11812189147,13.51,15.85,363.41,262.65,7.4974,1726.05,91.82,67.9,53.29,3898.8,14540.25,29036.56,22.56,51.7,0,7,3457504006,0,7,15.61,0,5,17,0,13,12.2,1,0,5.9,0,7,0.25,0,13,15.79,1564.94
11.03.2021,-0.866025403784439,0.5,0.964635581908359,0.263587166069068,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1574.58,1580.03,1551.88,3.1,1534.31959200612,1503.63493586552,1274.11530152195,49.1434927697442,8.45541705920618,5.50983930555035,27.3979732986602,1533.5185,1481.58163984117,1585.45536015883,13.51,15.85,347.69,246.23,7.4612,1721.41,91.42,69.63,54.97,3939.3,14569.39,29211.64,21.91,51.7,0,8,3457504006,0,8,15.61,0,6,17,0,14,12.2,0,1,5.9,0,8,0.25,0,14,-8.45000000000005,1556.49
12.03.2021,-2.44929359829471e-16,1,0.964635581908359,0.263587166069068,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1558.33,1561.65,1549.31,2.62,1536.51677371982,1505.74297759628,1276.93395523815,51.5700259355317,9.28722374208496,6.26531619285727,25.3902435255055,1534.466,1481.47046874847,1587.46153125153,13.68,16.16,360.24,258.67,7.5586,1726.41,91.68,69.22,53.99,3943.3,14502.39,29717.83,20.69,51.7,0,9,3457504006,0,9,15.61,0,7,17,0,15,12.2,0,2,5.9,0,9,0.25,0,15,0.900000000000091,1557.39
15.03.2021,0.866025403784439,-0.5,0.989040187322164,0.147646564002481,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1558.78,1566.39,1553.49,2.09,1538.32184288936,1507.69305690623,1279.7054581711,60.1599222000108,9.67992443388925,6.94823784106367,23.7248777221048,1534.115,1481.81252043716,1586.41747956284,13.88,16.25,352.88,251.71,7.5316,1731.84,91.83,68.88,54.12,3968.9,14461.42,29766.97,20.03,51.7,0,10,3457504006,0,10,15.61,0,8,17,0,16,12.2,0,3,5.9,0,10,0.25,0,16,-1.92000000000007,1555.47
16.03.2021,1.22464679914735e-16,-1,0.989040187322164,0.147646564002481,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1561.41,1572.91,1557.54,2.17,1541.37881023323,1510.15293702756,1282.59814017935,76.4527845036319,11.0698759795036,7.77256546875166,22.8868940258242,1535.495,1480.82267947509,1590.16732052491,13.75,15.85,347.93,246.72,7.4907,1730.94,91.86,68.39,54.35,3962.7,14557.58,29921.09,19.79,51.7,0,11,3457504006,0,11,15.61,0,9,17,0,17,12.2,0,4,5.9,0,11,0.25,0,17,14.95,1570.42
17.03.2021,-0.866025403784438,-0.5,0.989040187322164,0.147646564002481,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1574.78,1589.47,1562.11,2.85,1543.35320925864,1512.19046890883,1285.37935271488,71.9522338403041,11.3698109399763,8.4920145629966,23.4833081557143,1536.571,1480.6438082706,1592.4981917294,13.83,15.78,362.54,261.64,7.5017,1744.44,91.44,68,54.42,3974.1,14596.61,29914.33,19.23,51.7,0,12,3457504006,0,12,15.61,0,10,17,0,18,12.2,0,5,5.9,0,12,0.25,0,18,-8.31000000000017,1562.11
18.03.2021,-0.866025403784439,0.5,0.989040187322164,0.147646564002481,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1567.79,1574.56,1548.24,3.57,1544.07480837686,1513.70966620652,1288.02164771274,74.4467666584706,10.5833803712301,8.91028772464329,23.8615337349524,1536.797,1480.66624171844,1592.92775828156,13.57,15.78,343.14,241.27,7.3193,1736.41,91.86,63.28,53.42,3915.5,14775.52,30216.75,21.58,51.7,0,13,3457504006,0,13,15.61,0,11,19,1,0,12.2,0,6,5.9,0,13,0.25,0,19,-11.1799999999998,1550.93
19.03.2021,-2.44929359829471e-16,1,0.989040187322164,0.147646564002481,1,6.12323399573677e-17,1,6.12323399573677e-17,2021,1548.53,1553.93,1511.29,3.19,1542.63815996002,1514.30889498274,1290.41934276037,50.5989421281892,8.09642331171403,8.74751484205744,26.3653292369587,1535.2295,1480.12542641861,1590.33357358139,13.6,15.75,340.43,238.77,7.214,1744.74,91.92,64.53,54.08,3913.1,14621,29792.05,20.95,51.7,0,14,3457504006,0,14,15.61,0,12,19,0,1,12.2,0,7,5.9,0,14,0.25,0,20,-21.9400000000001,1528.99
