Date;Close;Open;High;Low;Volume;Change
6.05.2025;9134.68;9109.68;9228.43;9105.43;3.1;0.0025
5.05.2025;9112.19;9217.78;9240.67;9087.81;3.68;-0.006
2.05.2025;9167.58;9120.98;9194.82;9103.71;2.83;0.0098
30.04.2025;9078.43;9225.29;9250.06;9058.16;3.73;-0.0159
29.04.2025;9224.84;9272.47;9312.18;9216.78;3.05;-0.0088
28.04.2025;9306.96;9457.25;9464.53;9306.96;3.34;-0.0133
25.04.2025;9432.55;9510.14;9531.35;9427.88;3.52;-0.0061
24.04.2025;9490.9;9353.61;9493.83;9301.42;3.67;0.0192
22.04.2025;9312.13;9378.74;9409.06;9286.36;3.66;-0.001
21.04.2025;9321.64;9343.14;9477.78;9268.07;4.67;0.0005
18.04.2025;9317.24;9426.26;9433.8;9288.98;3.19;-0.0084
17.04.2025;9396.02;9276.21;9438.32;9256.93;4.98;0.014
16.04.2025;9266.09;9369.37;9398.67;9245.26;3.68;-0.0136
15.04.2025;9393.79;9443.74;9492.29;9383.77;4.1;-0.0032
14.04.2025;9423.62;9456.17;9491.28;9407.56;3.86;0.0045
11.04.2025;9380.95;9352.49;9406.53;9260.01;3.63;0.0045
10.04.2025;9338.58;9579.11;9581.24;9338.58;3.37;0.0068
9.04.2025;9275.5;9398.73;9472.96;9275.5;3.55;-0.0213
8.04.2025;9477.14;9553.24;9562.24;9412.1;2.99;0.0074
7.04.2025;9407.17;9117.38;9506.73;9050.56;4.34;0.0029
4.04.2025;9379.83;9496.81;9524.76;9339.67;3.14;-0.011
3.04.2025;9484.26;9530.67;9627.7;9484.26;3.07;-0.0041
2.04.2025;9523.31;9606.37;9643.17;9517.72;3.21;-0.0141
28.03.2025;9659.48;9567.76;9669.22;9415.95;4.1;0.0049
27.03.2025;9612.84;9774.58;9830.83;9593.66;4.65;-0.0038
26.03.2025;9649.53;9617.01;9749.43;9566.8;4.42;-0.0068
25.03.2025;9715.58;9462.68;9811.55;9404.2;5.49;0.0448
24.03.2025;9299.36;9167;9386.54;8872.75;6.08;0.0282
21.03.2025;9044.64;9758.53;9758.53;8984.54;5;-0.0781
20.03.2025;9810.94;9839.83;10156.71;9660.61;6.76;-0.005
19.03.2025;9860.29;10060.48;10378.14;9806.52;4.8;-0.0872
18.03.2025;10802.23;10832.76;10872.24;10752.04;4.18;-0.0055
17.03.2025;10862.14;10869;10902.61;10809.13;4.65;0.002
14.03.2025;10840.59;10772.35;10862.97;10726.27;3.77;0.0105
