Date,Price
06/05/2025,"23,249.65"
05/05/2025,"23,344.54"
02/05/2025,"23,086.65"
30/04/2025,"22,496.98"
29/04/2025,"22,425.83"
28/04/2025,"22,271.67"
25/04/2025,"22,242.45"
24/04/2025,"22,064.51"
23/04/2025,"21,961.97"
22/04/2025,"21,293.53"
17/04/2025,"21,205.86"
16/04/2025,"21,311.02"
15/04/2025,"21,253.70"
14/04/2025,"20,954.83"
11/04/2025,"20,374.10"
10/04/2025,"20,562.73"
09/04/2025,"19,670.88"
08/04/2025,"20,280.26"
07/04/2025,"19,789.62"
04/04/2025,"20,641.72"
03/04/2025,"21,717.39"
02/04/2025,"22,390.84"
01/04/2025,"22,539.98"
31/03/2025,"22,163.49"
28/03/2025,"22,461.52"
27/03/2025,"22,678.74"
26/03/2025,"22,839.03"
25/03/2025,"23,109.79"
24/03/2025,"22,852.66"
21/03/2025,"22,891.68"
20/03/2025,"22,999.15"
19/03/2025,"23,288.06"
18/03/2025,"23,380.70"
17/03/2025,"23,154.57"
14/03/2025,"22,986.82"
13/03/2025,"22,567.14"
12/03/2025,"22,676.41"
11/03/2025,"22,328.77"
10/03/2025,"22,620.95"
07/03/2025,"23,008.94"
06/03/2025,"23,419.48"
05/03/2025,"23,081.03"
04/03/2025,"22,326.81"
03/03/2025,"23,147.02"
28/02/2025,"22,551.43"
27/02/2025,"22,550.89"
26/02/2025,"22,794.11"
25/02/2025,"22,410.27"
24/02/2025,"22,425.93"
21/02/2025,"22,287.56"
20/02/2025,"22,314.65"
19/02/2025,"22,433.63"
18/02/2025,"22,844.50"
17/02/2025,"22,798.09"
14/02/2025,"22,513.42"
13/02/2025,"22,612.02"
12/02/2025,"22,148.03"
11/02/2025,"22,037.83"
10/02/2025,"21,911.74"
07/02/2025,"21,787.00"
06/02/2025,"21,902.42"
05/02/2025,"21,585.93"
04/02/2025,"21,505.70"
03/02/2025,"21,428.24"
31/01/2025,"21,732.05"
30/01/2025,"21,727.20"
29/01/2025,"21,637.53"
28/01/2025,"21,430.58"
27/01/2025,"21,282.18"
24/01/2025,"21,394.93"
23/01/2025,"21,411.53"
22/01/2025,"21,254.27"
21/01/2025,"21,042.00"
20/01/2025,"20,990.31"
17/01/2025,"20,903.39"
16/01/2025,"20,655.39"
15/01/2025,"20,574.68"
14/01/2025,"20,271.33"
13/01/2025,"20,132.85"
10/01/2025,"20,214.79"
09/01/2025,"20,317.10"
08/01/2025,"20,329.94"
07/01/2025,"20,340.57"
06/01/2025,"20,216.19"
03/01/2025,"19,906.08"
02/01/2025,"20,024.66"
30/12/2024,"19,909.14"
27/12/2024,"19,984.32"
23/12/2024,"19,848.77"
20/12/2024,"19,884.75"
19/12/2024,"19,969.86"
18/12/2024,"20,242.57"
17/12/2024,"20,246.37"
16/12/2024,"20,313.81"
13/12/2024,"20,405.92"
12/12/2024,"20,426.27"
11/12/2024,"20,399.16"
10/12/2024,"20,329.16"
09/12/2024,"20,345.96"
06/12/2024,"20,384.61"
05/12/2024,"20,358.80"
04/12/2024,"20,232.14"
03/12/2024,"20,016.75"
02/12/2024,"19,933.62"
29/11/2024,"19,626.45"
28/11/2024,"19,425.73"
27/11/2024,"19,261.75"
26/11/2024,"19,295.98"
25/11/2024,"19,405.20"
22/11/2024,"19,322.59"
21/11/2024,"19,146.17"
20/11/2024,"19,004.78"
19/11/2024,"19,060.31"
18/11/2024,"19,189.19"
15/11/2024,"19,210.81"
14/11/2024,"19,263.70"
13/11/2024,"19,003.11"
12/11/2024,"19,033.64"
11/11/2024,"19,448.60"
08/11/2024,"19,215.48"
07/11/2024,"19,362.52"
06/11/2024,"19,039.31"
05/11/2024,"19,256.27"
04/11/2024,"19,147.85"
01/11/2024,"19,254.97"
31/10/2024,"19,077.54"
30/10/2024,"19,257.34"
29/10/2024,"19,478.07"
28/10/2024,"19,531.62"
25/10/2024,"19,463.59"
24/10/2024,"19,443.00"
23/10/2024,"19,377.62"
22/10/2024,"19,421.91"
21/10/2024,"19,461.19"
18/10/2024,"19,657.37"
17/10/2024,"19,583.39"
16/10/2024,"19,432.81"
15/10/2024,"19,486.19"
14/10/2024,"19,508.29"
11/10/2024,"19,373.83"
10/10/2024,"19,210.90"
09/10/2024,"19,254.93"
08/10/2024,"19,066.47"
07/10/2024,"19,104.10"
04/10/2024,"19,120.93"
03/10/2024,"19,015.41"
02/10/2024,"19,164.75"
01/10/2024,"19,213.14"
30/09/2024,"19,324.93"
27/09/2024,"19,473.63"
26/09/2024,"19,238.36"
25/09/2024,"18,918.50"
24/09/2024,"18,996.63"
23/09/2024,"18,846.79"
20/09/2024,"18,720.01"
19/09/2024,"19,002.38"
18/09/2024,"18,711.49"
17/09/2024,"18,726.08"
16/09/2024,"18,633.11"
13/09/2024,"18,699.40"
12/09/2024,"18,518.39"
11/09/2024,"18,330.27"
10/09/2024,"18,265.92"
09/09/2024,"18,443.56"
06/09/2024,"18,301.90"
05/09/2024,"18,576.50"
04/09/2024,"18,591.85"
03/09/2024,"18,747.11"
02/09/2024,"18,930.85"
30/08/2024,"18,906.92"
29/08/2024,"18,912.57"
28/08/2024,"18,782.29"
27/08/2024,"18,681.81"
26/08/2024,"18,617.02"
