Date,Price
06/05/2025,45.16
05/05/2025,45.34
02/05/2025,45.0
01/05/2025,43.75
30/04/2025,43.76
29/04/2025,43.65
28/04/2025,43.53
25/04/2025,43.45
24/04/2025,43.53
23/04/2025,43.03
22/04/2025,42.54
21/04/2025,41.91
17/04/2025,41.92
16/04/2025,41.6
15/04/2025,42.09
14/04/2025,42.13
11/04/2025,41.75
10/04/2025,40.48
09/04/2025,41.19
08/04/2025,38.52
07/04/2025,39.07
04/04/2025,40.58
03/04/2025,42.97
02/04/2025,43.9
01/04/2025,43.84
31/03/2025,43.7
28/03/2025,43.77
27/03/2025,44.6
26/03/2025,44.38
25/03/2025,44.65
24/03/2025,44.78
21/03/2025,44.58
20/03/2025,44.8
19/03/2025,45.22
18/03/2025,45.11
17/03/2025,45.34
14/03/2025,44.58
13/03/2025,43.78
12/03/2025,43.96
11/03/2025,43.72
10/03/2025,43.36
07/03/2025,44.42
06/03/2025,44.2
05/03/2025,44.48
04/03/2025,43.19
03/03/2025,42.83
28/02/2025,43.21
27/02/2025,43.81
26/02/2025,44.68
25/02/2025,44.24
24/02/2025,44.21
21/02/2025,44.9
20/02/2025,45.03
19/02/2025,44.62
18/02/2025,44.69
14/02/2025,44.41
13/02/2025,44.07
12/02/2025,43.79
11/02/2025,43.55
10/02/2025,43.72
07/02/2025,43.2
06/02/2025,43.24
05/02/2025,43.06
04/02/2025,43.17
03/02/2025,42.41
31/01/2025,42.72
30/01/2025,43.21
29/01/2025,42.49
28/01/2025,42.48
27/01/2025,42.17
24/01/2025,42.95
23/01/2025,42.67
22/01/2025,42.57
21/01/2025,42.54
17/01/2025,42.09
16/01/2025,41.76
15/01/2025,41.81
14/01/2025,41.27
13/01/2025,40.81
10/01/2025,41.09
08/01/2025,41.8
07/01/2025,42.0
06/01/2025,42.3
03/01/2025,42.15
02/01/2025,41.76
31/12/2024,41.82
30/12/2024,41.96
27/12/2024,42.3
26/12/2024,42.49
24/12/2024,42.64
23/12/2024,42.51
20/12/2024,42.27
19/12/2024,42.1
18/12/2024,41.96
