Date,Price
02/05/2025,"36,830.69"
01/05/2025,"36,452.30"
30/04/2025,"36,045.38"
28/04/2025,"35,839.99"
25/04/2025,"35,705.74"
24/04/2025,"35,039.15"
23/04/2025,"34,868.63"
22/04/2025,"34,220.60"
21/04/2025,"34,279.92"
18/04/2025,"34,730.28"
17/04/2025,"34,377.60"
16/04/2025,"33,920.40"
15/04/2025,"34,267.54"
14/04/2025,"33,982.36"
11/04/2025,"33,585.58"
10/04/2025,"34,609.00"
09/04/2025,"31,714.03"
08/04/2025,"33,012.58"
07/04/2025,"31,136.58"
04/04/2025,"33,780.58"
03/04/2025,"34,735.93"
02/04/2025,"35,725.87"
01/04/2025,"35,624.48"
31/03/2025,"35,617.56"
28/03/2025,"37,120.33"
27/03/2025,"37,799.97"
26/03/2025,"38,027.29"
25/03/2025,"37,780.54"
24/03/2025,"37,608.49"
21/03/2025,"37,677.06"
19/03/2025,"37,751.88"
18/03/2025,"37,845.42"
17/03/2025,"37,396.52"
14/03/2025,"37,053.10"
13/03/2025,"36,790.03"
12/03/2025,"36,819.09"
11/03/2025,"36,793.11"
10/03/2025,"37,028.27"
07/03/2025,"36,887.17"
06/03/2025,"37,704.93"
05/03/2025,"37,418.24"
04/03/2025,"37,331.18"
03/03/2025,"37,785.47"
28/02/2025,"37,155.50"
27/02/2025,"38,256.17"
26/02/2025,"38,142.37"
25/02/2025,"38,237.79"
21/02/2025,"38,776.94"
20/02/2025,"38,678.04"
19/02/2025,"39,164.61"
18/02/2025,"39,270.40"
17/02/2025,"39,174.25"
14/02/2025,"39,149.43"
13/02/2025,"39,461.47"
12/02/2025,"38,963.70"
10/02/2025,"38,801.17"
07/02/2025,"38,787.02"
06/02/2025,"39,066.53"
05/02/2025,"38,831.48"
04/02/2025,"38,798.37"
03/02/2025,"38,520.09"
31/01/2025,"39,572.49"
30/01/2025,"39,513.97"
29/01/2025,"39,414.78"
28/01/2025,"39,016.87"
27/01/2025,"39,565.80"
24/01/2025,"39,931.98"
23/01/2025,"39,958.87"
22/01/2025,"39,646.25"
21/01/2025,"39,027.98"
20/01/2025,"38,902.50"
17/01/2025,"38,451.46"
16/01/2025,"38,572.60"
15/01/2025,"38,444.58"
14/01/2025,"38,474.30"
10/01/2025,"39,190.40"
09/01/2025,"39,605.09"
08/01/2025,"39,981.06"
07/01/2025,"40,083.30"
06/01/2025,"39,307.05"
30/12/2024,"39,894.54"
27/12/2024,"40,281.16"
26/12/2024,"39,568.06"
25/12/2024,"39,130.43"
24/12/2024,"39,036.85"
23/12/2024,"39,161.34"
20/12/2024,"38,701.90"
19/12/2024,"38,813.58"
18/12/2024,"39,081.71"
17/12/2024,"39,364.68"
16/12/2024,"39,457.49"
13/12/2024,"39,470.44"
12/12/2024,"39,849.14"
11/12/2024,"39,372.23"
10/12/2024,"39,367.58"
09/12/2024,"39,160.50"
06/12/2024,"39,091.17"
05/12/2024,"39,395.60"
04/12/2024,"39,276.39"
03/12/2024,"39,248.86"
02/12/2024,"38,513.02"
29/11/2024,"38,208.03"
28/11/2024,"38,349.06"
