Date,Price
06/05/2025,44.6
05/05/2025,44.56
02/05/2025,44.53
30/04/2025,44.9
29/04/2025,45.03
28/04/2025,45.07
25/04/2025,45.02
24/04/2025,44.62
22/04/2025,44.62
21/04/2025,44.25
18/04/2025,44.61
17/04/2025,45.09
16/04/2025,45.51
15/04/2025,45.94
14/04/2025,45.06
11/04/2025,44.96
10/04/2025,44.59
09/04/2025,44.43
08/04/2025,44.01
07/04/2025,44.19
04/04/2025,43.48
03/04/2025,43.2
02/04/2025,43.49
28/03/2025,44.16
27/03/2025,43.92
26/03/2025,43.47
25/03/2025,42.85
24/03/2025,45.68
21/03/2025,45.24
20/03/2025,40.17
19/03/2025,38.76
18/03/2025,35.23
17/03/2025,35.04
14/03/2025,34.97
13/03/2025,35.04
12/03/2025,35.0
11/03/2025,35.09
10/03/2025,35.29
07/03/2025,35.12
06/03/2025,35.19
05/03/2025,35.16
04/03/2025,35.18
03/03/2025,35.05
28/02/2025,35.08
27/02/2025,34.99
26/02/2025,35.06
25/02/2025,35.37
24/02/2025,35.67
21/02/2025,36.36
20/02/2025,36.23
19/02/2025,36.2
18/02/2025,36.02
17/02/2025,36.24
14/02/2025,36.06
13/02/2025,36.19
12/02/2025,36.34
11/02/2025,36.15
10/02/2025,35.85
07/02/2025,35.8
06/02/2025,35.58
05/02/2025,35.63
04/02/2025,35.42
03/02/2025,35.55
31/01/2025,35.09
30/01/2025,35.02
29/01/2025,35.05
28/01/2025,35.01
27/01/2025,35.18
24/01/2025,35.15
23/01/2025,35.43
22/01/2025,35.49
21/01/2025,35.43
20/01/2025,35.46
17/01/2025,35.78
16/01/2025,36.01
15/01/2025,36.52
14/01/2025,36.66
13/01/2025,36.66
10/01/2025,36.53
09/01/2025,36.56
08/01/2025,36.57
07/01/2025,36.87
06/01/2025,36.75
03/01/2025,36.64
02/01/2025,36.67
31/12/2024,37.12
30/12/2024,37.09
27/12/2024,37.17
26/12/2024,37.55
25/12/2024,38.18
24/12/2024,39.57
23/12/2024,39.53
20/12/2024,39.55
19/12/2024,39.51
18/12/2024,39.4
17/12/2024,39.36
16/12/2024,39.7
13/12/2024,39.7
12/12/2024,39.54
11/12/2024,39.59
10/12/2024,39.45
09/12/2024,38.59
06/12/2024,38.18
05/12/2024,38.06
04/12/2024,37.73
03/12/2024,37.55
02/12/2024,37.79
29/11/2024,37.29
28/11/2024,37.48
27/11/2024,37.38
26/11/2024,37.35
25/11/2024,37.14
22/11/2024,37.05
21/11/2024,37.8
20/11/2024,38.78
19/11/2024,39.36
18/11/2024,39.18
15/11/2024,38.89
14/11/2024,38.95
13/11/2024,39.08
12/11/2024,38.97
11/11/2024,39.15
08/11/2024,39.04
07/11/2024,39.31
06/11/2024,39.54
05/11/2024,39.71
04/11/2024,39.56
01/11/2024,39.21
31/10/2024,39.14
30/10/2024,39.14
28/10/2024,39.15
25/10/2024,39.15
24/10/2024,39.15
23/10/2024,39.14
22/10/2024,39.06
21/10/2024,39.04
18/10/2024,39.04
