Date,Price
06/05/2025,403.58
25/04/2025,407.99
24/04/2025,392.8
23/04/2025,394.43
22/04/2025,395.57
21/04/2025,392.83
18/04/2025,392.82
17/04/2025,393.29
16/04/2025,401.72
15/04/2025,401.79
14/04/2025,410.62
11/04/2025,435.94
10/04/2025,419.85
09/04/2025,404.36
08/04/2025,415.99
03/04/2025,387.88
02/04/2025,372.08
01/04/2025,376.64
31/03/2025,378.61
28/03/2025,374.36
27/03/2025,385.58
26/03/2025,379.05
25/03/2025,370.45
24/03/2025,385.64
21/03/2025,394.32
20/03/2025,383.7
19/03/2025,355.86
18/03/2025,343.05
17/03/2025,344.15
14/03/2025,347.83
13/03/2025,350.41
12/03/2025,350.95
11/03/2025,352.95
10/03/2025,350.93
07/03/2025,348.36
06/03/2025,348.77
05/03/2025,345.52
04/03/2025,347.24
03/03/2025,345.93
28/02/2025,342.49
27/02/2025,339.92
26/02/2025,343.96
25/02/2025,342.31
24/02/2025,347.02
21/02/2025,334.69
20/02/2025,335.14
19/02/2025,333.33
18/02/2025,332.86
17/02/2025,332.49
14/02/2025,335.36
13/02/2025,337.22
12/02/2025,340.42
11/02/2025,339.33
10/02/2025,341.23
07/02/2025,339.49
06/02/2025,339.83
05/02/2025,340.26
04/02/2025,344.26
03/02/2025,339.54
31/01/2025,343.8
30/01/2025,347.26
29/01/2025,346.77
28/01/2025,350.14
27/01/2025,344.76
24/01/2025,350.1
23/01/2025,352.41
22/01/2025,356.49
21/01/2025,356.58
20/01/2025,361.39
17/01/2025,360.63
16/01/2025,356.35
15/01/2025,363.8
14/01/2025,365.49
13/01/2025,361.14
10/01/2025,357.42
09/01/2025,357.91
08/01/2025,356.01
07/01/2025,343.74
06/01/2025,346.02
03/01/2025,347.65
02/01/2025,349.73
01/01/2025,349.75
31/12/2024,345.92
30/12/2024,343.19
27/12/2024,343.19
26/12/2024,343.52
25/12/2024,343.1
24/12/2024,343.08
23/12/2024,342.12
20/12/2024,340.26
19/12/2024,335.21
18/12/2024,334.42
17/12/2024,332.61
16/12/2024,332.5
13/12/2024,330.1
12/12/2024,327.82
11/12/2024,330.24
10/12/2024,327.66
09/12/2024,327.66
06/12/2024,333.52
05/12/2024,335.48
04/12/2024,338.21
03/12/2024,340.27
02/12/2024,338.19
29/11/2024,340.54
28/11/2024,340.71
27/11/2024,340.02
26/11/2024,338.83
25/11/2024,340.99
22/11/2024,341.94
21/11/2024,342.81
20/11/2024,342.54
19/11/2024,343.71
18/11/2024,342.86
15/11/2024,340.21
14/11/2024,339.95
13/11/2024,341.46
