Date,Price
06/05/2025,99.24
05/05/2025,99.83
02/05/2025,100.03
01/05/2025,100.25
30/04/2025,99.47
29/04/2025,99.24
28/04/2025,99.01
25/04/2025,99.47
24/04/2025,99.38
23/04/2025,99.84
22/04/2025,98.92
21/04/2025,98.28
17/04/2025,99.38
16/04/2025,99.38
15/04/2025,100.21
14/04/2025,99.64
11/04/2025,100.1
10/04/2025,100.87
09/04/2025,102.9
08/04/2025,102.96
07/04/2025,103.26
04/04/2025,103.02
03/04/2025,102.07
02/04/2025,103.81
01/04/2025,104.26
31/03/2025,104.21
28/03/2025,104.04
27/03/2025,104.33
26/03/2025,104.55
25/03/2025,104.18
24/03/2025,104.26
21/03/2025,104.09
20/03/2025,103.85
19/03/2025,103.43
18/03/2025,103.24
17/03/2025,103.37
14/03/2025,103.72
13/03/2025,103.83
12/03/2025,103.61
11/03/2025,103.29
10/03/2025,103.97
07/03/2025,103.84
06/03/2025,104.06
05/03/2025,104.3
04/03/2025,105.74
03/03/2025,106.75
28/02/2025,107.61
27/02/2025,107.24
26/02/2025,106.42
25/02/2025,106.31
24/02/2025,106.6
21/02/2025,106.61
20/02/2025,106.37
19/02/2025,107.17
18/02/2025,107.05
17/02/2025,106.57
14/02/2025,106.71
13/02/2025,107.31
12/02/2025,107.94
11/02/2025,107.96
10/02/2025,108.32
07/02/2025,108.04
06/02/2025,107.69
05/02/2025,107.58
04/02/2025,107.96
03/02/2025,108.99
31/01/2025,108.37
30/01/2025,107.8
29/01/2025,108.0
28/01/2025,107.87
27/01/2025,107.34
24/01/2025,107.44
23/01/2025,108.05
22/01/2025,108.17
21/01/2025,108.06
20/01/2025,109.35
17/01/2025,109.35
16/01/2025,108.96
15/01/2025,109.09
14/01/2025,109.27
13/01/2025,109.96
10/01/2025,109.65
09/01/2025,109.18
08/01/2025,109.09
07/01/2025,108.54
06/01/2025,108.26
03/01/2025,108.95
02/01/2025,109.39
31/12/2024,108.49
30/12/2024,108.13
29/12/2024,107.98
27/12/2024,108.0
26/12/2024,108.13
25/12/2024,108.12
24/12/2024,108.2
23/12/2024,108.04
22/12/2024,107.79
20/12/2024,107.62
19/12/2024,108.41
18/12/2024,108.03
17/12/2024,106.96
16/12/2024,106.86
15/12/2024,106.88
13/12/2024,107.0
12/12/2024,106.96
11/12/2024,106.71
10/12/2024,106.4
09/12/2024,106.14
06/12/2024,106.06
05/12/2024,105.71
04/12/2024,106.32
03/12/2024,106.36
02/12/2024,106.45
29/11/2024,105.74
28/11/2024,106.14
27/11/2024,106.08
26/11/2024,107.01
25/11/2024,106.82
22/11/2024,107.55
21/11/2024,106.97
20/11/2024,106.68
19/11/2024,106.21
18/11/2024,106.28
15/11/2024,106.69
14/11/2024,106.67
13/11/2024,106.48
12/11/2024,106.02
11/11/2024,105.54
08/11/2024,105.0
07/11/2024,104.51
06/11/2024,105.09
05/11/2024,103.42
04/11/2024,103.89
01/11/2024,104.28
31/10/2024,103.98
30/10/2024,103.99
29/10/2024,104.32
28/10/2024,104.32
25/10/2024,104.26
24/10/2024,104.06
23/10/2024,104.43
22/10/2024,104.08
21/10/2024,104.01
18/10/2024,103.49
17/10/2024,103.83
16/10/2024,103.59
15/10/2024,103.26
14/10/2024,103.3
11/10/2024,102.89
10/10/2024,102.99
09/10/2024,102.93
08/10/2024,102.55
07/10/2024,102.54
04/10/2024,102.52
03/10/2024,101.99
02/10/2024,101.68
01/10/2024,101.19
30/09/2024,100.78
27/09/2024,100.38
26/09/2024,100.52
25/09/2024,100.91
24/09/2024,100.47
23/09/2024,100.85
20/09/2024,100.72
19/09/2024,100.61
18/09/2024,100.6
17/09/2024,100.89
16/09/2024,100.76
13/09/2024,101.11
12/09/2024,101.37
11/09/2024,101.68
10/09/2024,101.63
09/09/2024,101.55
06/09/2024,101.18
05/09/2024,101.11
04/09/2024,101.36
03/09/2024,101.83
02/09/2024,101.65
30/08/2024,101.7
29/08/2024,101.34
28/08/2024,101.09
27/08/2024,100.55
26/08/2024,100.85
23/08/2024,100.72
22/08/2024,101.51
21/08/2024,101.04
20/08/2024,101.44
19/08/2024,101.89
16/08/2024,102.46
15/08/2024,102.98
14/08/2024,102.57
13/08/2024,102.56
12/08/2024,103.14
09/08/2024,103.14
08/08/2024,103.21
07/08/2024,103.2
06/08/2024,102.97
05/08/2024,102.69
02/08/2024,103.21
01/08/2024,104.42
31/07/2024,104.1
30/07/2024,104.55
29/07/2024,104.56
26/07/2024,104.32
25/07/2024,104.36
24/07/2024,104.39
23/07/2024,104.45
22/07/2024,104.31
19/07/2024,104.4
18/07/2024,104.17
17/07/2024,103.75
16/07/2024,104.27
15/07/2024,104.19
12/07/2024,104.09
11/07/2024,104.44
10/07/2024,105.05
09/07/2024,105.13
08/07/2024,105.0
05/07/2024,104.88
04/07/2024,105.13
03/07/2024,105.4
02/07/2024,105.72
01/07/2024,105.9
28/06/2024,105.87
27/06/2024,105.91
26/06/2024,106.05
25/06/2024,105.61
24/06/2024,105.47
21/06/2024,105.8
20/06/2024,105.59
19/06/2024,105.25
18/06/2024,105.26
17/06/2024,105.32
14/06/2024,105.55
13/06/2024,105.2
12/06/2024,104.64
11/06/2024,105.23
10/06/2024,105.15
07/06/2024,104.89
06/06/2024,104.1
05/06/2024,104.27
04/06/2024,104.11
03/06/2024,104.14
31/05/2024,104.67
30/05/2024,104.72
29/05/2024,105.1
28/05/2024,104.61
27/05/2024,104.59
24/05/2024,104.72
23/05/2024,105.11
22/05/2024,104.93
21/05/2024,104.66
20/05/2024,104.56
17/05/2024,104.44
16/05/2024,104.46
15/05/2024,104.34
14/05/2024,105.01
13/05/2024,105.22
10/05/2024,105.3
09/05/2024,105.23
08/05/2024,105.55
07/05/2024,105.41
06/05/2024,105.05
03/05/2024,105.03
02/05/2024,105.3
01/05/2024,105.75
30/04/2024,106.22
29/04/2024,105.58
26/04/2024,105.94
25/04/2024,105.6
24/04/2024,105.86
23/04/2024,105.67
22/04/2024,106.08
19/04/2024,106.15
18/04/2024,106.15
17/04/2024,105.95
16/04/2024,106.26
15/04/2024,106.21
12/04/2024,106.04
11/04/2024,105.28
10/04/2024,105.25
09/04/2024,104.15
08/04/2024,104.14
05/04/2024,104.3
04/04/2024,104.12
03/04/2024,104.25
02/04/2024,104.82
01/04/2024,105.02
29/03/2024,104.55
28/03/2024,104.55
27/03/2024,104.35
26/03/2024,104.29
25/03/2024,104.23
22/03/2024,104.47
21/03/2024,104.0
20/03/2024,103.41
19/03/2024,103.84
18/03/2024,103.59
15/03/2024,103.43
14/03/2024,103.36
13/03/2024,102.79
12/03/2024,102.96
11/03/2024,102.87
08/03/2024,102.71
07/03/2024,102.82
06/03/2024,103.37
05/03/2024,103.8
04/03/2024,103.83
01/03/2024,103.86
29/02/2024,104.16
28/02/2024,103.97
27/02/2024,103.83
26/02/2024,103.83
23/02/2024,103.94
22/02/2024,103.96
21/02/2024,104.01
20/02/2024,104.08
19/02/2024,104.29
16/02/2024,104.3
15/02/2024,104.3
14/02/2024,104.72
13/02/2024,104.96
12/02/2024,104.17
09/02/2024,104.11
08/02/2024,104.17
07/02/2024,104.06
06/02/2024,104.21
05/02/2024,104.45
02/02/2024,103.92
01/02/2024,103.05
31/01/2024,103.27
30/01/2024,103.4
29/01/2024,103.61
26/01/2024,103.43
25/01/2024,103.57
24/01/2024,103.24
23/01/2024,103.62
22/01/2024,103.33
19/01/2024,103.29
18/01/2024,103.54
17/01/2024,103.45
16/01/2024,103.36
15/01/2024,102.4
12/01/2024,102.4
11/01/2024,102.29
10/01/2024,102.36
09/01/2024,102.57
08/01/2024,102.21
05/01/2024,102.41
04/01/2024,102.42
03/01/2024,102.49
02/01/2024,102.2
29/12/2023,101.33
28/12/2023,101.23
27/12/2023,100.99
26/12/2023,101.47
22/12/2023,101.7
21/12/2023,101.84
20/12/2023,102.41
19/12/2023,102.17
18/12/2023,102.56
15/12/2023,102.55
14/12/2023,101.96
13/12/2023,102.87
12/12/2023,103.86
11/12/2023,104.09
08/12/2023,104.01
07/12/2023,103.54
06/12/2023,104.15
05/12/2023,104.05
04/12/2023,103.71
01/12/2023,103.27
30/11/2023,103.5
29/11/2023,102.77
28/11/2023,102.75
27/11/2023,103.2
24/11/2023,103.4
23/11/2023,103.77
22/11/2023,103.92
21/11/2023,103.56
20/11/2023,103.44
17/11/2023,103.92
16/11/2023,104.35
15/11/2023,104.39
14/11/2023,104.05
13/11/2023,105.63
10/11/2023,105.86
09/11/2023,105.91
08/11/2023,105.59
07/11/2023,105.54
06/11/2023,105.22
03/11/2023,105.02
02/11/2023,106.12
01/11/2023,106.88
31/10/2023,106.66
30/10/2023,106.12
27/10/2023,106.56
26/10/2023,106.6
25/10/2023,106.53
24/10/2023,106.27
23/10/2023,105.54
20/10/2023,106.16
19/10/2023,106.25
18/10/2023,106.56
17/10/2023,106.25
16/10/2023,106.24
13/10/2023,106.65
12/10/2023,106.6
11/10/2023,105.82
10/10/2023,105.83
09/10/2023,106.08
06/10/2023,106.04
05/10/2023,106.33
04/10/2023,106.8
03/10/2023,107.0
02/10/2023,106.9
29/09/2023,106.22
28/09/2023,106.22
27/09/2023,106.67
26/09/2023,106.23
25/09/2023,106.0
22/09/2023,105.58
21/09/2023,105.36
20/09/2023,105.12
19/09/2023,105.16
18/09/2023,105.2
15/09/2023,105.32
14/09/2023,105.41
13/09/2023,104.77
12/09/2023,104.71
11/09/2023,104.57
08/09/2023,105.09
07/09/2023,105.06
06/09/2023,104.86
05/09/2023,104.81
04/09/2023,104.24
01/09/2023,104.24
31/08/2023,103.62
30/08/2023,103.16
29/08/2023,103.53
28/08/2023,104.06
25/08/2023,104.08
24/08/2023,103.98
23/08/2023,103.42
22/08/2023,103.56
21/08/2023,103.3
18/08/2023,103.38
17/08/2023,103.57
16/08/2023,103.43
15/08/2023,103.21
14/08/2023,103.19
11/08/2023,102.84
10/08/2023,102.52
09/08/2023,102.49
08/08/2023,102.53
07/08/2023,102.05
04/08/2023,102.02
03/08/2023,102.54
02/08/2023,102.59
01/08/2023,102.3
31/07/2023,101.86
28/07/2023,101.62
27/07/2023,101.77
26/07/2023,100.89
25/07/2023,101.35
24/07/2023,101.35
21/07/2023,101.07
20/07/2023,100.88
19/07/2023,100.28
18/07/2023,99.94
17/07/2023,99.84
14/07/2023,99.91
13/07/2023,99.77
12/07/2023,100.52
11/07/2023,101.73
10/07/2023,101.97
07/07/2023,102.27
06/07/2023,103.07
05/07/2023,103.37
04/07/2023,103.04
03/07/2023,102.96
30/06/2023,102.91
29/06/2023,103.34
28/06/2023,102.91
27/06/2023,102.49
26/06/2023,102.69
23/06/2023,102.9
22/06/2023,102.39
21/06/2023,102.07
20/06/2023,102.54
19/06/2023,102.52
16/06/2023,102.24
15/06/2023,102.11
14/06/2023,102.95
13/06/2023,103.34
12/06/2023,103.65
09/06/2023,103.56
08/06/2023,103.34
07/06/2023,104.1
06/06/2023,104.12
05/06/2023,104.0
02/06/2023,104.02
01/06/2023,103.56
31/05/2023,104.33
30/05/2023,104.17
29/05/2023,104.26
26/05/2023,104.21
25/05/2023,104.25
24/05/2023,103.89
23/05/2023,103.49
22/05/2023,103.2
19/05/2023,103.2
18/05/2023,103.58
17/05/2023,102.88
16/05/2023,102.56
15/05/2023,102.43
12/05/2023,102.68
11/05/2023,102.06
10/05/2023,101.48
09/05/2023,101.61
08/05/2023,101.38
05/05/2023,101.21
