Date,Price
06/05/2025,24.76
05/05/2025,23.64
02/05/2025,22.68
01/05/2025,24.6
30/04/2025,24.7
29/04/2025,24.17
28/04/2025,25.15
25/04/2025,24.84
24/04/2025,26.47
23/04/2025,28.45
22/04/2025,30.57
21/04/2025,33.82
17/04/2025,29.65
16/04/2025,32.64
15/04/2025,30.12
14/04/2025,30.89
11/04/2025,37.56
10/04/2025,40.72
09/04/2025,33.62
08/04/2025,52.33
07/04/2025,46.98
04/04/2025,45.31
03/04/2025,30.02
02/04/2025,21.51
01/04/2025,21.77
31/03/2025,22.28
28/03/2025,21.65
27/03/2025,18.69
26/03/2025,18.33
25/03/2025,17.15
24/03/2025,17.48
21/03/2025,19.28
20/03/2025,19.8
19/03/2025,19.9
18/03/2025,21.7
17/03/2025,20.51
14/03/2025,21.77
13/03/2025,24.66
12/03/2025,24.23
11/03/2025,26.92
10/03/2025,27.86
07/03/2025,23.37
06/03/2025,24.87
05/03/2025,21.93
04/03/2025,23.51
03/03/2025,22.78
28/02/2025,19.63
27/02/2025,21.13
26/02/2025,19.1
25/02/2025,19.43
24/02/2025,18.98
21/02/2025,18.21
20/02/2025,15.66
19/02/2025,15.27
18/02/2025,15.35
17/02/2025,15.37
14/02/2025,14.77
13/02/2025,15.1
12/02/2025,15.89
11/02/2025,16.02
10/02/2025,15.81
07/02/2025,16.54
06/02/2025,15.5
05/02/2025,15.77
04/02/2025,17.21
03/02/2025,18.62
31/01/2025,16.43
30/01/2025,15.84
29/01/2025,16.56
28/01/2025,16.41
27/01/2025,17.9
24/01/2025,14.85
23/01/2025,15.02
22/01/2025,15.1
21/01/2025,15.06
20/01/2025,15.81
17/01/2025,15.97
16/01/2025,16.6
15/01/2025,16.12
14/01/2025,18.71
13/01/2025,19.19
10/01/2025,19.54
09/01/2025,18.07
08/01/2025,17.7
07/01/2025,17.82
06/01/2025,16.04
03/01/2025,16.13
02/01/2025,17.93
31/12/2024,17.35
30/12/2024,17.4
27/12/2024,15.95
26/12/2024,14.73
24/12/2024,14.27
23/12/2024,16.78
20/12/2024,18.36
19/12/2024,24.09
18/12/2024,27.62
17/12/2024,15.87
16/12/2024,14.69
13/12/2024,13.81
12/12/2024,13.92
11/12/2024,13.58
10/12/2024,14.18
09/12/2024,14.19
06/12/2024,12.77
05/12/2024,13.54
04/12/2024,13.45
03/12/2024,13.3
02/12/2024,13.34
29/11/2024,13.51
28/11/2024,13.9
27/11/2024,14.1
26/11/2024,14.1
25/11/2024,14.6
22/11/2024,15.24
21/11/2024,16.87
20/11/2024,17.16
19/11/2024,16.35
18/11/2024,15.58
15/11/2024,16.14
14/11/2024,14.31
13/11/2024,14.02
12/11/2024,14.71
11/11/2024,14.97
08/11/2024,14.94
07/11/2024,15.2
06/11/2024,16.27
05/11/2024,20.49
04/11/2024,21.98
01/11/2024,21.88
31/10/2024,23.16
30/10/2024,20.35
29/10/2024,19.34
28/10/2024,19.8
25/10/2024,20.33
24/10/2024,19.08
23/10/2024,19.24
22/10/2024,18.2
21/10/2024,18.37
18/10/2024,18.03
17/10/2024,19.11
16/10/2024,19.58
15/10/2024,20.64
14/10/2024,19.7
11/10/2024,20.46
10/10/2024,20.93
09/10/2024,20.86
08/10/2024,21.42
07/10/2024,22.64
04/10/2024,19.21
03/10/2024,20.49
02/10/2024,18.9
01/10/2024,19.26
30/09/2024,16.73
27/09/2024,16.96
26/09/2024,15.37
25/09/2024,15.41
24/09/2024,15.39
23/09/2024,15.89
20/09/2024,16.15
19/09/2024,16.33
18/09/2024,18.23
17/09/2024,17.61
16/09/2024,17.14
13/09/2024,16.56
12/09/2024,17.07
11/09/2024,17.69
10/09/2024,19.08
09/09/2024,19.45
06/09/2024,22.38
05/09/2024,19.9
04/09/2024,21.32
03/09/2024,20.72
02/09/2024,15.55
30/08/2024,15.0
29/08/2024,15.65
28/08/2024,17.11
27/08/2024,15.43
26/08/2024,16.15
23/08/2024,15.86
22/08/2024,17.55
21/08/2024,16.27
20/08/2024,15.88
19/08/2024,14.65
16/08/2024,14.8
15/08/2024,15.23
14/08/2024,16.19
13/08/2024,18.12
12/08/2024,20.71
09/08/2024,20.37
08/08/2024,23.79
07/08/2024,27.85
06/08/2024,27.71
05/08/2024,38.57
02/08/2024,23.39
01/08/2024,18.59
31/07/2024,16.36
30/07/2024,17.69
29/07/2024,16.6
26/07/2024,16.39
25/07/2024,18.46
24/07/2024,18.04
23/07/2024,14.72
22/07/2024,14.91
19/07/2024,16.52
18/07/2024,15.93
17/07/2024,14.48
16/07/2024,13.19
15/07/2024,13.12
12/07/2024,12.46
11/07/2024,12.92
10/07/2024,12.85
09/07/2024,12.51
08/07/2024,12.37
05/07/2024,12.48
04/07/2024,12.26
03/07/2024,12.09
02/07/2024,12.03
01/07/2024,12.22
28/06/2024,12.44
27/06/2024,12.24
26/06/2024,12.55
25/06/2024,12.84
24/06/2024,13.33
21/06/2024,13.2
20/06/2024,13.28
19/06/2024,12.48
18/06/2024,12.3
17/06/2024,12.75
14/06/2024,12.66
13/06/2024,11.94
12/06/2024,12.04
11/06/2024,12.85
10/06/2024,12.74
07/06/2024,12.22
06/06/2024,12.58
05/06/2024,12.63
04/06/2024,13.16
03/06/2024,13.11
31/05/2024,12.92
30/05/2024,14.47
29/05/2024,14.28
28/05/2024,12.92
27/05/2024,12.36
24/05/2024,11.93
23/05/2024,12.77
22/05/2024,12.29
21/05/2024,11.86
20/05/2024,12.15
17/05/2024,11.99
16/05/2024,12.42
15/05/2024,12.45
14/05/2024,13.42
13/05/2024,13.6
10/05/2024,12.55
09/05/2024,12.69
08/05/2024,13.0
07/05/2024,13.23
06/05/2024,13.49
03/05/2024,13.49
02/05/2024,14.68
01/05/2024,15.39
30/04/2024,15.65
29/04/2024,14.67
26/04/2024,15.03
25/04/2024,15.37
24/04/2024,15.97
23/04/2024,15.69
22/04/2024,16.94
19/04/2024,18.71
18/04/2024,18.0
17/04/2024,18.21
16/04/2024,18.4
15/04/2024,19.23
12/04/2024,17.31
11/04/2024,14.91
10/04/2024,15.8
09/04/2024,14.98
08/04/2024,15.19
05/04/2024,16.03
04/04/2024,16.35
03/04/2024,14.33
02/04/2024,14.61
01/04/2024,13.65
29/03/2024,13.01
28/03/2024,13.01
27/03/2024,12.78
26/03/2024,13.24
25/03/2024,13.19
22/03/2024,13.06
21/03/2024,12.92
20/03/2024,13.04
19/03/2024,13.82
18/03/2024,14.33
15/03/2024,14.41
14/03/2024,14.4
13/03/2024,13.75
12/03/2024,13.84
11/03/2024,15.22
08/03/2024,14.74
07/03/2024,14.44
06/03/2024,14.5
05/03/2024,14.46
04/03/2024,13.49
01/03/2024,13.11
29/02/2024,13.4
28/02/2024,13.84
27/02/2024,13.43
26/02/2024,13.74
23/02/2024,13.75
22/02/2024,14.54
21/02/2024,15.34
20/02/2024,15.42
19/02/2024,14.71
16/02/2024,14.24
15/02/2024,14.01
14/02/2024,14.38
13/02/2024,15.85
12/02/2024,13.93
09/02/2024,12.93
08/02/2024,12.79
07/02/2024,12.83
06/02/2024,13.06
05/02/2024,13.67
02/02/2024,13.85
01/02/2024,13.88
31/01/2024,14.35
30/01/2024,13.31
29/01/2024,13.6
26/01/2024,13.26
25/01/2024,13.45
24/01/2024,13.14
23/01/2024,12.55
22/01/2024,13.19
19/01/2024,13.3
18/01/2024,14.13
17/01/2024,14.79
16/01/2024,13.84
15/01/2024,13.25
12/01/2024,12.7
11/01/2024,12.44
10/01/2024,12.69
09/01/2024,12.76
08/01/2024,13.08
05/01/2024,13.35
04/01/2024,14.13
03/01/2024,14.04
02/01/2024,13.2
29/12/2023,12.45
28/12/2023,12.47
27/12/2023,12.43
26/12/2023,12.99
25/12/2023,13.03
22/12/2023,13.03
21/12/2023,13.65
20/12/2023,13.67
19/12/2023,12.53
18/12/2023,12.56
15/12/2023,12.28
14/12/2023,12.48
13/12/2023,12.19
12/12/2023,12.07
11/12/2023,12.63
08/12/2023,12.35
07/12/2023,13.06
06/12/2023,12.97
05/12/2023,12.85
04/12/2023,13.08
01/12/2023,12.63
30/11/2023,12.92
29/11/2023,12.98
28/11/2023,12.69
27/11/2023,12.69
24/11/2023,12.46
23/11/2023,12.8
22/11/2023,12.85
21/11/2023,13.35
20/11/2023,13.41
17/11/2023,13.8
16/11/2023,14.32
15/11/2023,14.18
14/11/2023,14.16
13/11/2023,14.76
10/11/2023,14.17
09/11/2023,15.29
08/11/2023,14.45
07/11/2023,14.81
06/11/2023,14.89
03/11/2023,14.91
02/11/2023,15.66
01/11/2023,16.87
31/10/2023,18.14
30/10/2023,19.75
27/10/2023,21.27
26/10/2023,20.68
25/10/2023,20.19
24/10/2023,18.97
23/10/2023,20.37
20/10/2023,21.71
19/10/2023,21.4
18/10/2023,19.22
17/10/2023,17.88
16/10/2023,17.21
13/10/2023,19.32
12/10/2023,16.69
11/10/2023,16.09
10/10/2023,17.03
09/10/2023,17.7
06/10/2023,17.45
05/10/2023,18.49
04/10/2023,18.58
03/10/2023,19.78
02/10/2023,17.61
29/09/2023,17.52
28/09/2023,17.34
27/09/2023,18.22
26/09/2023,18.94
25/09/2023,16.9
22/09/2023,17.2
21/09/2023,17.54
20/09/2023,15.14
19/09/2023,14.11
18/09/2023,14.0
15/09/2023,13.79
14/09/2023,12.82
13/09/2023,13.48
12/09/2023,14.23
11/09/2023,13.8
08/09/2023,13.84
07/09/2023,14.4
06/09/2023,14.45
05/09/2023,14.01
04/09/2023,13.82
01/09/2023,13.09
31/08/2023,13.57
30/08/2023,13.88
29/08/2023,14.45
28/08/2023,15.08
25/08/2023,15.68
24/08/2023,17.2
23/08/2023,15.98
22/08/2023,16.97
21/08/2023,17.13
18/08/2023,17.3
17/08/2023,17.89
16/08/2023,16.78
15/08/2023,16.46
14/08/2023,14.82
11/08/2023,14.84
10/08/2023,15.85
09/08/2023,15.96
08/08/2023,15.99
07/08/2023,15.77
04/08/2023,17.1
03/08/2023,15.92
02/08/2023,16.09
01/08/2023,13.93
31/07/2023,13.63
28/07/2023,13.33
27/07/2023,14.41
26/07/2023,13.19
25/07/2023,13.86
24/07/2023,13.91
21/07/2023,13.6
20/07/2023,13.99
19/07/2023,13.76
18/07/2023,13.3
17/07/2023,13.48
14/07/2023,13.34
13/07/2023,13.61
12/07/2023,13.54
11/07/2023,14.84
10/07/2023,15.07
07/07/2023,14.83
06/07/2023,15.44
05/07/2023,14.18
04/07/2023,13.7
03/07/2023,13.57
30/06/2023,13.59
29/06/2023,13.54
28/06/2023,13.43
27/06/2023,13.74
26/06/2023,14.25
23/06/2023,13.44
22/06/2023,12.91
21/06/2023,13.2
20/06/2023,13.88
19/06/2023,14.19
16/06/2023,13.54
15/06/2023,14.5
14/06/2023,13.88
13/06/2023,14.61
12/06/2023,15.01
09/06/2023,13.83
08/06/2023,13.65
07/06/2023,13.94
06/06/2023,13.96
05/06/2023,14.73
02/06/2023,14.6
01/06/2023,15.65
31/05/2023,17.94
30/05/2023,17.46
29/05/2023,17.46
26/05/2023,17.95
25/05/2023,19.14
24/05/2023,20.03
23/05/2023,18.53
22/05/2023,17.21
19/05/2023,16.81
18/05/2023,16.05
17/05/2023,16.87
16/05/2023,17.99
15/05/2023,17.12
12/05/2023,17.03
11/05/2023,16.93
10/05/2023,16.94
09/05/2023,17.71
08/05/2023,16.98
05/05/2023,17.19
04/05/2023,20.09
03/05/2023,18.34
02/05/2023,17.78
01/05/2023,16.08
28/04/2023,15.78
27/04/2023,17.03
26/04/2023,18.84
25/04/2023,18.76
24/04/2023,16.89
21/04/2023,16.77
20/04/2023,17.17
19/04/2023,16.46
18/04/2023,16.83
17/04/2023,16.95
14/04/2023,17.07
13/04/2023,17.8
12/04/2023,19.09
11/04/2023,19.1
10/04/2023,18.97
07/04/2023,18.4
06/04/2023,18.4
05/04/2023,19.08
04/04/2023,19.0
03/04/2023,18.55
31/03/2023,18.7
30/03/2023,19.02
29/03/2023,19.12
28/03/2023,19.97
27/03/2023,20.6
24/03/2023,21.74
23/03/2023,22.61
22/03/2023,22.26
21/03/2023,21.38
20/03/2023,24.15
17/03/2023,25.51
16/03/2023,22.99
15/03/2023,26.14
14/03/2023,23.73
13/03/2023,26.52
10/03/2023,24.8
09/03/2023,22.61
08/03/2023,19.11
07/03/2023,19.59
06/03/2023,18.61
03/03/2023,18.49
02/03/2023,19.59
01/03/2023,20.58
28/02/2023,20.7
27/02/2023,20.95
24/02/2023,21.67
23/02/2023,21.14
22/02/2023,22.29
21/02/2023,22.87
20/02/2023,21.23
17/02/2023,20.02
16/02/2023,20.17
15/02/2023,18.23
14/02/2023,18.91
13/02/2023,20.34
10/02/2023,20.53
09/02/2023,20.71
08/02/2023,19.63
07/02/2023,18.66
06/02/2023,19.43
03/02/2023,18.33
02/02/2023,18.73
01/02/2023,17.87
31/01/2023,19.4
30/01/2023,19.94
27/01/2023,18.51
26/01/2023,18.73
25/01/2023,19.08
24/01/2023,19.2
23/01/2023,19.81
20/01/2023,19.85
19/01/2023,20.52
18/01/2023,20.34
17/01/2023,19.36
16/01/2023,19.49
13/01/2023,18.35
12/01/2023,18.83
11/01/2023,21.09
10/01/2023,20.58
09/01/2023,21.97
06/01/2023,21.13
05/01/2023,22.46
04/01/2023,22.01
03/01/2023,22.9
30/12/2022,21.67
29/12/2022,21.44
28/12/2022,22.14
27/12/2022,21.65
26/12/2022,20.87
23/12/2022,20.87
22/12/2022,21.97
21/12/2022,20.07
20/12/2022,21.48
19/12/2022,22.42
16/12/2022,22.62
15/12/2022,22.83
14/12/2022,21.14
13/12/2022,22.55
12/12/2022,25.0
09/12/2022,22.83
08/12/2022,22.29
07/12/2022,22.68
06/12/2022,22.17
05/12/2022,20.75
02/12/2022,19.06
01/12/2022,19.84
30/11/2022,20.58
29/11/2022,21.89
28/11/2022,22.21
25/11/2022,20.5
24/11/2022,20.42
23/11/2022,20.35
22/11/2022,21.29
21/11/2022,22.36
18/11/2022,23.12
17/11/2022,23.93
16/11/2022,24.11
15/11/2022,24.54
14/11/2022,23.73
11/11/2022,22.52
10/11/2022,23.53
09/11/2022,26.09
08/11/2022,25.54
07/11/2022,24.35
04/11/2022,24.55
03/11/2022,25.3
02/11/2022,25.86
01/11/2022,25.81
31/10/2022,25.88
28/10/2022,25.75
27/10/2022,27.39
26/10/2022,27.28
25/10/2022,28.46
24/10/2022,29.85
21/10/2022,29.69
20/10/2022,29.98
19/10/2022,30.76
18/10/2022,30.5
17/10/2022,31.37
14/10/2022,32.02
13/10/2022,31.94
12/10/2022,33.57
11/10/2022,33.63
10/10/2022,32.45
07/10/2022,31.36
06/10/2022,30.52
05/10/2022,28.55
04/10/2022,29.07
03/10/2022,30.1
30/09/2022,31.62
29/09/2022,31.84
28/09/2022,30.18
27/09/2022,32.6
26/09/2022,32.26
23/09/2022,29.92
22/09/2022,27.35
21/09/2022,27.99
20/09/2022,27.16
19/09/2022,25.76
16/09/2022,26.3
15/09/2022,26.27
14/09/2022,26.16
13/09/2022,27.27
12/09/2022,23.87
09/09/2022,22.79
08/09/2022,23.61
07/09/2022,24.64
06/09/2022,26.91
05/09/2022,25.99
02/09/2022,25.47
01/09/2022,25.56
31/08/2022,25.87
30/08/2022,26.21
29/08/2022,26.21
26/08/2022,25.56
25/08/2022,21.78
24/08/2022,22.82
23/08/2022,24.11
22/08/2022,23.8
19/08/2022,20.6
18/08/2022,19.56
17/08/2022,19.9
16/08/2022,19.69
15/08/2022,19.95
12/08/2022,19.53
11/08/2022,20.2
10/08/2022,19.74
09/08/2022,21.77
08/08/2022,21.29
05/08/2022,21.15
04/08/2022,21.44
03/08/2022,21.95
02/08/2022,23.93
01/08/2022,22.84
29/07/2022,21.33
28/07/2022,22.33
27/07/2022,23.24
26/07/2022,24.69
25/07/2022,23.36
22/07/2022,23.03
21/07/2022,23.11
20/07/2022,23.88
19/07/2022,24.5
18/07/2022,25.3
15/07/2022,24.23
14/07/2022,26.4
13/07/2022,26.82
12/07/2022,27.29
11/07/2022,26.17
