Date,Price
06/05/2025,"3,430.21"
05/05/2025,"3,334.50"
02/05/2025,"3,240.88"
01/05/2025,"3,241.00"
30/04/2025,"3,288.59"
29/04/2025,"3,317.18"
28/04/2025,"3,341.67"
25/04/2025,"3,319.45"
24/04/2025,"3,349.10"
23/04/2025,"3,288.26"
22/04/2025,"3,382.54"
21/04/2025,"3,424.30"
17/04/2025,"3,327.54"
16/04/2025,"3,343.22"
15/04/2025,"3,227.60"
14/04/2025,"3,209.28"
11/04/2025,"3,236.21"
10/04/2025,"3,173.92"
09/04/2025,"3,082.18"
08/04/2025,"2,983.78"
07/04/2025,"2,982.54"
04/04/2025,"3,037.36"
03/04/2025,"3,112.83"
02/04/2025,"3,133.57"
01/04/2025,"3,110.55"
31/03/2025,"3,123.05"
28/03/2025,"3,084.03"
27/03/2025,"3,056.10"
26/03/2025,"3,019.29"
25/03/2025,"3,019.85"
24/03/2025,"3,012.27"
21/03/2025,"3,023.63"
20/03/2025,"3,044.41"
19/03/2025,"3,047.18"
18/03/2025,"3,033.95"
17/03/2025,"3,001.47"
14/03/2025,"2,984.42"
13/03/2025,"2,987.75"
12/03/2025,"2,932.06"
11/03/2025,"2,916.04"
10/03/2025,"2,889.40"
07/03/2025,"2,910.79"
06/03/2025,"2,909.99"
05/03/2025,"2,918.84"
04/03/2025,"2,917.49"
03/03/2025,"2,893.71"
28/02/2025,"2,858.60"
27/02/2025,"2,876.19"
26/02/2025,"2,916.19"
25/02/2025,"2,915.12"
24/02/2025,"2,951.19"
21/02/2025,"2,936.03"
20/02/2025,"2,938.70"
19/02/2025,"2,932.64"
18/02/2025,"2,935.58"
17/02/2025,"2,897.66"
14/02/2025,"2,883.18"
13/02/2025,"2,929.03"
12/02/2025,"2,903.66"
11/02/2025,"2,898.34"
10/02/2025,"2,907.34"
07/02/2025,"2,860.39"
06/02/2025,"2,856.50"
05/02/2025,"2,865.09"
04/02/2025,"2,841.94"
03/02/2025,"2,813.49"
31/01/2025,"2,801.00"
30/01/2025,"2,793.88"
29/01/2025,"2,757.71"
28/01/2025,"2,763.11"
27/01/2025,"2,741.10"
24/01/2025,"2,771.30"
23/01/2025,"2,753.69"
22/01/2025,"2,755.02"
21/01/2025,"2,744.39"
20/01/2025,"2,708.06"
17/01/2025,"2,701.55"
16/01/2025,"2,713.77"
15/01/2025,"2,695.82"
14/01/2025,"2,677.16"
13/01/2025,"2,662.12"
10/01/2025,"2,689.63"
09/01/2025,"2,670.19"
08/01/2025,"2,662.06"
07/01/2025,"2,649.49"
06/01/2025,"2,635.33"
03/01/2025,"2,639.12"
02/01/2025,"2,657.16"
31/12/2024,"2,623.81"
30/12/2024,"2,605.39"
