Date;Price;Open;High;Low;Change
6.05.2025;32.17;32.08;32.25;32.08;0.0034
5.05.2025;32.06;32;32.1;32;0.0072
2.05.2025;31.83;32.35;32.35;31.85;-0.0176
30.04.2025;32.4;32.75;32.77;32.43;-0.0098
29.04.2025;32.72;32.77;32.83;32.71;0.0018
28.04.2025;32.66;32.3;32.77;32.3;0.0159
25.04.2025;32.15;31.83;32.19;31.83;0.0104
24.04.2025;31.82;31.79;31.92;31.79;0.0025
22.04.2025;31.74;31.55;32.04;31.55;0.0073
21.04.2025;31.51;31.27;31.55;31.18;0.0057
18.04.2025;31.33;31.93;31.93;31.27;-0.0182
17.04.2025;31.91;32.48;32.48;31.91;-0.0169
16.04.2025;32.46;32.32;32.52;32.28;0.0059
15.04.2025;32.27;32.09;32.32;32.05;0.0075
14.04.2025;32.03;32.72;32.72;31.84;0.0133
11.04.2025;31.61;30.94;31.71;30.94;0.0246
10.04.2025;30.85;30.83;30.94;30.83;0.0036
9.04.2025;30.74;30.66;30.83;30.6;0.0102
8.04.2025;30.43;30.8;31.02;30.48;-0.0046
7.04.2025;30.57;31.01;31.01;30.67;0.0149
4.04.2025;30.12;30.47;30.47;30.09;-0.0056
3.04.2025;30.29;30.64;30.64;30.21;-0.0066
2.04.2025;30.49;30.64;30.64;30.47;-0.0231
28.03.2025;31.21;31.08;31.37;31.08;0.0084
27.03.2025;30.95;30.14;31.08;30.14;0.0289
26.03.2025;30.08;29.59;30.14;29.51;0.0323
25.03.2025;29.14;30.01;30.01;29.16;-0.0499
24.03.2025;30.67;31.46;31.54;30.71;-0.0087
21.03.2025;30.94;28.92;31.07;28.67;0.064
20.03.2025;29.08;28.76;29.5;28.6;0.0125
19.03.2025;28.72;26.88;28.76;26.88;0.0879
18.03.2025;26.4;26.43;26.83;26.36;0.0004
17.03.2025;26.39;26.25;26.42;26.25;0.0069
14.03.2025;26.21;26.1;26.27;26.1;0.0046
13.03.2025;26.09;26.08;26.11;26.08;0.0019
12.03.2025;26.04;25.94;26.19;25.94;0.0054
11.03.2025;25.9;25.94;26.01;25.92;-0.0008
10.03.2025;25.92;25.86;26;25.86;0.0058
7.03.2025;25.77;25.81;25.81;25.78;-0.0031
6.03.2025;25.85;25.86;25.86;25.78;0
